,Quarter,Tm,Detail,SFO,CHI
0,1.0,Bears,Bob Thomas 29 yard field goal,0,3
1,1.0,49ers,Ray Wersching 24 yard field goal,3,3
2,2.0,Bears,Dennis McKinnon 49 yard pass from Jim McMahon (Bob Thomas kick),3,10
3,3.0,Bears,Bob Thomas 23 yard field goal,3,13
