,Quarter,Tm,Detail,HOU,CLE
0,1,Oilers,Toni Fritsch 42 yard field goal,3,0
1,2,Browns,Dave Jacobs 29 yard field goal,3,3
2,3,Oilers,Toni Fritsch 27 yard field goal,6,3
3,4,Oilers,Toni Fritsch 36 yard field goal,9,3
