,Quarter,Tm,Detail,BUF,CIN
0,1.0,Bengals,James Brooks 3 yard rush (Jim Breech kick),0,7
1,2.0,Bengals,James Brooks 13 yard pass from Boomer Esiason (Jim Breech kick),0,14
2,2.0,Bengals,Ickey Woods 2 yard rush (Jim Breech kick),0,21
3,2.0,Bills,Robb Riddick 1 yard rush (Scott Norwood kick),7,21
4,3.0,Bengals,Ickey Woods 1 yard rush (Jim Breech kick),7,28
5,3.0,Bills,Ronnie Harmon 9 yard pass from Jim Kelly (Scott Norwood kick),14,28
6,4.0,Bills,Robb Riddick 1 yard rush (Scott Norwood kick),21,28
7,4.0,Bengals,Ickey Woods 2 yard rush (Jim Breech kick),21,35
