,Quarter,Tm,Detail,STL,NOR
0,1.0,Cardinals,Wayne Morris 2 yard rush (Steve Little kick),7,0
1,2.0,Cardinals,Wayne Morris 2 yard rush (Steve Little kick),14,0
2,2.0,Cardinals,Pat Tilley 7 yard pass from Jim Hart,20,0
3,2.0,Cardinals,Wayne Morris 1 yard rush (Steve Little kick),27,0
4,3.0,Cardinals,Steve Little 25 yard field goal,30,0
5,3.0,Saints,Elex Price 19 yard blocked punt return (Benny Ricardo kick),30,7
6,4.0,Cardinals,Steve Little 36 yard field goal,33,7
7,4.0,Cardinals,Willard Harrell 11 yard rush (Steve Little kick),40,7
