,Quarter,Tm,Detail,NYG,PHI
0,1.0,Eagles,Earl Gros 59 yard rush (Sam Baker kick),0,7
1,2.0,Eagles,Timmy Brown 6 yard pass from Norm Snead (Sam Baker kick),0,14
2,3.0,Giants,Aaron Thomas 17 yard pass from Y.A. Tittle (Don Chandler kick),7,14
3,3.0,Eagles,Sam Baker 30 yard field goal,7,17
4,3.0,Eagles,Timmy Brown 3 yard rush (Sam Baker kick),7,24
5,4.0,Eagles,Pete Retzlaff 29 yard pass from Norm Snead (Sam Baker kick),7,31
6,4.0,Eagles,Tom Woodeshick 9 yard rush (Sam Baker kick),7,38
