,Quarter,Tm,Detail,DET,MIN
0,1.0,Vikings,Ted Brown 1 yard rush (Rick Danmeier kick),0,7
1,2.0,Vikings,Joe Senser 4 yard pass from Tommy Kramer (Rick Danmeier kick),0,14
2,2.0,Lions,Billy Sims 2 yard rush (Eddie Murray kick),7,14
3,2.0,Lions,Billy Sims 3 yard rush (Eddie Murray kick),14,14
4,2.0,Vikings,Rick Danmeier 39 yard field goal,14,17
5,3.0,Vikings,Ted Brown 59 yard pass from Tommy Kramer,14,23
6,3.0,Lions,Gary Danielson 1 yard rush (Eddie Murray kick),21,23
7,4.0,Lions,Eddie Murray 25 yard field goal,24,23
8,4.0,Vikings,Rick Danmeier 20 yard field goal,24,26
