,Quarter,Tm,Detail,KAN,NYJ
0,1.0,Chiefs,Nick Lowery 20 yard field goal,3,0
1,2.0,Chiefs,Nick Lowery 27 yard field goal,6,0
2,3.0,Chiefs,Keith Cash 2 yard pass from Dave Krieg (Nick Lowery kick),13,0
3,3.0,Chiefs,Tim Barnett 4 yard pass from Dave Krieg (Nick Lowery kick),20,0
4,4.0,Jets,Terance Mathis 10 yard pass from Browning Nagle (Cary Blanchard kick),20,7
5,4.0,Chiefs,Nick Lowery 38 yard field goal,23,7
