,Quarter,Tm,Detail,DEN,BUF
0,1.0,Bills,O.J. Simpson 2 yard rush (Grant Guthrie kick),0,7
1,2.0,Broncos,"Safety, high pass from center into end zone",2,7
2,2.0,Bills,Grant Guthrie 16 yard field goal,2,10
3,2.0,Broncos,Bobby Howfield 27 yard field goal,5,10
4,3.0,Broncos,Al Denson 3 yard pass from Steve Tensi (Bobby Howfield kick),12,10
5,4.0,Broncos,Bobby Anderson 27 yard rush (Bobby Howfield kick),19,10
6,4.0,Broncos,Bobby Howfield 48 yard field goal,22,10
7,4.0,Broncos,Bobby Howfield 31 yard field goal,25,10
