,Quarter,Tm,Detail,MIN,CHI
0,1.0,Vikings,Darrin Nelson 56 yard rush (Benny Ricardo kick),7,0
1,2.0,Bears,Walter Payton 1 yard rush (Bob Thomas kick),7,7
2,2.0,Vikings,Benny Ricardo 22 yard field goal,10,7
3,3.0,Vikings,Benny Ricardo 32 yard field goal,13,7
4,3.0,Vikings,Tony Galbreath 52 yard rush (Benny Ricardo kick),20,7
5,4.0,Bears,Walter Payton 6 yard rush (Bob Thomas kick),20,14
6,4.0,Vikings,Benny Ricardo 30 yard field goal,23,14
