,Quarter,Time,Tm,Detail,PHI,NYG
0,1.0,3:31,Giants,Morten Andersen 24 yard field goal,0,3
1,2.0,12:56,Giants,Morten Andersen 21 yard field goal,0,6
2,2.0,2:14,Giants,Morten Andersen 24 yard field goal,0,9
3,3.0,1:34,Eagles,David Akers 25 yard field goal,3,9
4,4.0,1:52,Eagles,James Thrash 18 yard pass from Donovan McNabb (David Akers kick),10,9
