,Quarter,Tm,Detail,NYJ,CIN
0,1.0,Bengals,Boomer Esiason 11 yard rush (Jim Breech kick),0,7
1,1.0,Jets,Tony Paige 2 yard rush (Pat Leahy kick),7,7
2,2.0,Bengals,Jim Breech 53 yard field goal,7,10
3,2.0,Bengals,Jim Breech 29 yard field goal,7,13
4,2.0,Jets,Johnny Hector 1 yard rush (Pat Leahy kick),14,13
5,3.0,Jets,Pat Leahy 30 yard field goal,17,13
6,3.0,Jets,"Safety, Breeden tackled in end zone",19,13
7,3.0,Jets,Mickey Shuler 7 yard pass from Ken O'Brien (Pat Leahy kick),26,13
8,4.0,Jets,Pat Leahy 33 yard field goal,29,13
9,4.0,Bengals,Stanford Jennings 1 yard rush (Jim Breech kick),29,20
