,Quarter,Tm,Detail,BAL,NYG
0,1.0,Colts,Lydell Mitchell 9 yard rush (Toni Linhart kick),7,0
1,1.0,Colts,Stan White 23 yard interception return (Toni Linhart kick),14,0
2,2.0,Colts,Bill Olds 1 yard rush (Toni Linhart kick),21,0
