,Quarter,Tm,Detail,DAL,WAS
0,2.0,Redskins,Curt Knight 18 yard field goal,0,3
1,2.0,Redskins,Charley Taylor 15 yard pass from Billy Kilmer (Curt Knight kick),0,10
2,2.0,Cowboys,Toni Fritsch 35 yard field goal,3,10
3,4.0,Redskins,Charley Taylor 45 yard pass from Billy Kilmer (Curt Knight kick),3,17
4,4.0,Redskins,Curt Knight 39 yard field goal,3,20
5,4.0,Redskins,Curt Knight 46 yard field goal,3,23
6,4.0,Redskins,Curt Knight 45 yard field goal,3,26
