,Quarter,Tm,Detail,MIN,SFO
0,1,Vikings,Anthony Carter 6 yard pass from Tommy Kramer (Chuck Nelson kick),7,0
1,1,49ers,Dwight Clark 45 yard pass from Jeff Kemp (Ray Wersching kick),7,7
2,1,Vikings,Issiac Holt special teams fumble recovery in end zone (Chuck Nelson kick),14,7
3,2,49ers,Ray Wersching 39 yard field goal,14,10
4,2,49ers,Jerry Rice 34 yard pass from Jeff Kemp (Ray Wersching kick),14,17
5,3,49ers,Jerry Rice 17 yard pass from Jeff Kemp (Ray Wersching kick),14,24
6,3,Vikings,Chuck Nelson 26 yard field goal,17,24
7,4,Vikings,Anthony Carter 35 yard pass from Tommy Kramer (Chuck Nelson kick),24,24
8,OT,Vikings,Chuck Nelson 28 yard field goal,27,24
