,Quarter,Time,Tm,Detail,CLE,BUF
0,2,7:23,Browns,Billy Cundiff 24 yard field goal,3,0
1,3,10:10,Bills,Rian Lindell 36 yard field goal,3,3
2,4,0:23,Browns,Billy Cundiff 18 yard field goal,6,3
