,Quarter,Tm,Detail,HOU,MIA
0,1.0,Oilers,Al Del Greco 24 yard field goal,3,0
1,1.0,Oilers,Haywood Jeffires 5 yard pass from Cody Carlson (Al Del Greco kick),10,0
2,2.0,Dolphins,Pete Stoyanovich 38 yard field goal,10,3
3,2.0,Oilers,Al Del Greco 41 yard field goal,13,3
4,2.0,Dolphins,Fred Banks 39 yard pass from Dan Marino (Pete Stoyanovich kick),13,10
5,3.0,Dolphins,Pete Stoyanovich 40 yard field goal,13,13
6,3.0,Oilers,Al Del Greco 23 yard field goal,16,13
7,4.0,Dolphins,Pete Stoyanovich 29 yard field goal,16,16
8,4.0,Dolphins,Pete Stoyanovich 52 yard field goal,16,19
