,Quarter,Tm,Detail,DAL,GNB
0,2.0,Cowboys,Ray Horton 65 yard interception return (Ken Willis kick),7,0
1,2.0,Cowboys,Jay Novacek 13 yard pass from Troy Aikman (Ken Willis kick),14,0
2,2.0,Packers,Chris Jacke 42 yard field goal,14,3
3,3.0,Packers,Charles Wilson 82 yard kickoff return (Chris Jacke kick),14,10
4,3.0,Cowboys,Ken Willis 23 yard field goal,17,10
5,4.0,Cowboys,Ken Willis 39 yard field goal,20,10
6,4.0,Packers,Sterling Sharpe 13 yard pass from Blair Kiel (Chris Jacke kick),20,17
