,Quarter,Time,Tm,Detail,ARI,MIA
0,1.0,5:53,Dolphins,Olindo Mare 39 yard field goal,0,3
1,2.0,14:09,Dolphins,Olindo Mare 51 yard field goal,0,6
2,2.0,6:54,Cardinals,Chris Jacke 36 yard field goal,3,6
3,2.0,5:44,Cardinals,Chris Jacke 44 yard field goal,6,6
4,2.0,5:20,Cardinals,Rob Fredrickson 34 yard interception return (Chris Jacke kick),13,6
5,2.0,0:25,Dolphins,Troy Drayton 10 yard pass from Dan Marino (Olindo Mare kick),13,13
6,3.0,9:12,Cardinals,Chris Jacke 38 yard field goal,16,13
7,3.0,5:11,Dolphins,Olindo Mare 48 yard field goal,16,16
8,3.0,4:26,Dolphins,Olindo Mare 44 yard field goal,16,19
