,Quarter,Time,Tm,Detail,DET,CHI
0,2.0,,Bears,Lewis Tillman 1 yard rush (Kevin Butler kick),0,7
1,2.0,,Lions,Herman Moore 9 yard pass from Dave Krieg (Jason Hanson kick),7,7
2,2.0,,Bears,Kevin Butler 28 yard field goal,7,10
3,2.0,,Lions,Jason Hanson 29 yard field goal,10,10
4,3.0,,Bears,Kevin Butler 23 yard field goal,10,13
5,4.0,,Bears,Jeff Graham 30 yard pass from Steve Walsh (Kevin Butler kick),10,20
