,Quarter,Tm,Detail,WAS,CLE
0,1.0,Redskins,Charley Taylor 2 yard rush,6,0
1,2.0,Browns,Gary Collins 7 yard pass from Frank Ryan (Lou Groza kick),6,7
2,2.0,Redskins,Pat Richter 6 yard pass from Sonny Jurgensen (Bob Jencks kick),13,7
3,2.0,Redskins,Bob Jencks 20 yard field goal,16,7
4,3.0,Browns,Lou Groza 42 yard field goal,16,10
5,4.0,Browns,Tom Hutchinson 14 yard pass from Frank Ryan (Lou Groza kick),16,17
6,4.0,Browns,Jim Brown 5 yard rush (Lou Groza kick),16,24
