,Quarter,Tm,Detail,KAN,MIA
0,2.0,Chiefs,Jan Stenerud 21 yard field goal,3,0
1,2.0,Dolphins,"Safety, Foley blocked punt out of end zone",3,2
2,4.0,Dolphins,Larry Csonka 1 yard rush (Garo Yepremian kick),3,9
