,Quarter,Tm,Detail,MIN,CHI
0,1.0,Vikings,Hugh McElhenny 81 yard punt return (Mike Mercer kick),7,0
1,1.0,Vikings,Jerry Reichow 30 yard pass from Fran Tarkenton (Mike Mercer kick),14,0
2,1.0,Bears,Angelo Coia 62 yard pass from Billy Wade (Roger LeClerc kick),14,7
3,2.0,Bears,Willie Galimore 8 yard rush (Roger LeClerc kick),14,14
4,2.0,Bears,Mike Ditka 2 yard pass from Billy Wade (Roger LeClerc kick),14,21
5,2.0,Vikings,Jerry Reichow 11 yard pass from Fran Tarkenton (Mike Mercer kick),21,21
6,3.0,Bears,Angelo Coia 16 yard pass from Billy Wade (Roger LeClerc kick),21,28
7,3.0,Bears,Roger LeClerc 17 yard field goal,21,31
8,3.0,Bears,Mike Ditka 30 yard pass from Billy Wade (Roger LeClerc kick),21,38
9,3.0,Vikings,Gordie Smith 10 yard pass from Fran Tarkenton (Mike Mercer kick),28,38
10,3.0,Bears,Charlie Bivins 20 yard rush (Roger LeClerc kick),28,45
11,4.0,Vikings,Jerry Reichow 24 yard pass from Fran Tarkenton (Mike Mercer kick),35,45
12,4.0,Bears,Willie Galimore 60 yard rush (Roger LeClerc kick),35,52
