,Quarter,Time,Tm,Detail,TAM,WAS
0,2.0,4:51,Redskins,Logan Paulsen 1 yard pass from Donovan McNabb (Graham Gano kick),0,7
1,2.0,2:22,Buccaneers,Connor Barth 25 yard field goal,3,7
2,2.0,0:10,Redskins,Graham Gano 25 yard field goal,3,10
3,3.0,11:48,Buccaneers,Connor Barth 44 yard field goal,6,10
4,3.0,4:11,Buccaneers,Connor Barth 35 yard field goal,9,10
5,4.0,3:47,Buccaneers,Kellen Winslow 41 yard pass from Josh Freeman (Josh Freeman run),17,10
6,4.0,0:09,Redskins,Santana Moss 6 yard pass from Donovan McNabb (Graham Gano kick failed),17,16
