,Quarter,Time,Tm,Detail,NYJ,NWE
0,1,0:52,Patriots,Adam Vinatieri 24 yard field goal,0,3
1,2,0:00,Jets,John Hall 26 yard field goal,3,3
2,3,2:29,Jets,Curtis Martin 8 yard rush (John Hall kick),10,3
