,Quarter,Time,Tm,Detail,DEN,SFO
0,2.0,7:55,49ers,Terrell Owens 8 yard pass from Jeff Garcia (Jose Cortez kick),0,7
1,2.0,0:16,Broncos,Jason Elam 28 yard field goal,3,7
2,3.0,9:01,Broncos,Mike Anderson 1 yard pass from Brian Griese (Jason Elam kick),10,7
3,4.0,14:15,Broncos,Olandis Gary 1 yard rush (Jason Elam kick),17,7
4,4.0,2:58,Broncos,Scottie Montgomery 11 yard pass from Brian Griese (Jason Elam kick),24,7
5,4.0,1:23,49ers,Jeff Garcia 1 yard rush (Jose Cortez kick),24,14
