,Quarter,Tm,Detail,CRD,PIT
0,3.0,Cardinals,Versil Deskin 18 yard pass from Pat Coffee (Bill May kick),7,0
1,4.0,Cardinals,Jimmy Lawrence 2 yard rush,13,0
2,4.0,Pirates,Bill Davidson 65 yard pass from Max Fiske (Izzy Weinstock kick),13,7
