,Quarter,Tm,Detail,NYJ,PIT
0,1.0,Jets,Jason Staurovsky 32 yard field goal,3,0
1,2.0,Steelers,Barry Foster 23 yard rush (Gary Anderson kick),3,7
2,2.0,Jets,Michael Brim 77 yard interception return (Jason Staurovsky kick),10,7
3,2.0,Steelers,Gary Anderson 28 yard field goal,10,10
4,4.0,Steelers,Barry Foster 54 yard rush (Gary Anderson kick),10,17
5,4.0,Steelers,Gary Anderson 35 yard field goal,10,20
6,4.0,Steelers,Larry Griffin 65 yard interception return (Gary Anderson kick),10,27
