,Quarter,Time,Tm,Detail,CAR,KAN
0,2.0,4:00,Panthers,Chris Hetherington 1 yard rush (Joe Nedney kick),7,0
1,2.0,1:33,Chiefs,Todd Peterson 35 yard field goal,7,3
2,3.0,9:32,Panthers,Kris Mangum 15 yard pass from Steve Beuerlein (Joe Nedney kick),14,3
3,3.0,3:46,Chiefs,Todd Peterson 24 yard field goal,14,6
4,4.0,12:31,Chiefs,Tony Gonzalez 6 yard pass from Elvis Grbac (pass failed),14,12
5,4.0,3:43,Chiefs,Todd Peterson 33 yard field goal,14,15
