,Quarter,Tm,Detail,NWE,MIN
0,1.0,Patriots,John Smith 37 yard field goal,3,0
1,2.0,Patriots,Steve Schubert 21 yard pass from Jim Plunkett (John Smith kick),10,0
2,4.0,Vikings,Chuck Foreman 2 yard rush (Fred Cox kick),10,7
3,4.0,Vikings,Fran Tarkenton 3 yard rush (Fred Cox kick),10,14
4,4.0,Patriots,Bob Windsor 10 yard pass from Jim Plunkett (John Smith kick),17,14
