,Quarter,Tm,Detail,NYG,OAK
0,1.0,Raiders,Clarence Davis 5 yard rush (George Blanda kick),0,7
1,1.0,Raiders,Bob Moore 21 yard pass from Ken Stabler (George Blanda kick),0,14
2,2.0,Raiders,Marv Hubbard 8 yard rush (George Blanda kick),0,21
3,2.0,Raiders,Charlie Smith 18 yard pass from Ken Stabler (George Blanda kick),0,28
4,3.0,Raiders,Marv Hubbard 9 yard rush (George Blanda kick),0,35
5,4.0,Raiders,Steve Sweeney 34 yard pass from Daryle Lamonica (George Blanda kick),0,42
