,Quarter,Tm,Detail,CRD,CHI
0,1.0,Cardinals,Milan Creighton 15 yard pass from Ernie Nevers (Ernie Nevers kick),7,0
1,3.0,Bears,Red Grange 35 yard rush (Luke Johnsos kick),7,7
2,3.0,Bears,Red Grange 17 yard pass from Joe Lintzenich (Luke Johnsos kick),7,14
3,4.0,Bears,Bronko Nagurski 62 yard rush,7,20
4,4.0,Bears,Red Grange 10 yard rush,7,26
5,4.0,Cardinals,Ernie Nevers 4 yard rush,13,26
