,Quarter,Time,Tm,Detail,PHI,WAS
0,1.0,1:26,Eagles,Jake Elliott 25 yard field goal,3,0
1,1.0,1:23,Redskins,Terry McLaurin 75 yard pass from Dwayne Haskins (Dustin Hopkins kick),3,7
2,2.0,9:58,Eagles,Miles Sanders 1 yard rush (Jake Elliott kick),10,7
3,2.0,7:03,Redskins,Steven Sims 5 yard pass from Dwayne Haskins (Dustin Hopkins kick),10,14
4,3.0,6:02,Eagles,Miles Sanders 15 yard pass from Carson Wentz (Jake Elliott kick),17,14
5,4.0,15:00,Redskins,Adrian Peterson 10 yard rush (Dustin Hopkins kick),17,21
6,4.0,10:02,Eagles,Zach Ertz 2 yard pass from Carson Wentz (Jake Elliott kick),24,21
7,4.0,8:06,Redskins,Dustin Hopkins 53 yard field goal,24,24
8,4.0,4:56,Redskins,Dustin Hopkins 43 yard field goal,24,27
9,4.0,0:32,Eagles,Greg Ward 4 yard pass from Carson Wentz (Jake Elliott kick),31,27
10,4.0,0:06,Eagles,Nigel Bradham 48 yard fumble return,37,27
