,Quarter,Tm,Detail,MIA,BUF
0,1.0,Dolphins,Benny Malone 5 yard rush (Garo Yepremian kick),7,0
1,2.0,Bills,John Holland 53 yard pass from Joe Ferguson (John Leypoldt kick),7,7
2,2.0,Dolphins,Don Nottingham 1 yard rush (Garo Yepremian kick),14,7
3,2.0,Bills,John Holland 58 yard pass from Joe Ferguson (John Leypoldt kick),14,14
4,2.0,Dolphins,Garo Yepremian 25 yard field goal,17,14
5,3.0,Dolphins,Nat Moore 30 yard pass from Bob Griese (Garo Yepremian kick),24,14
6,3.0,Dolphins,Garo Yepremian 20 yard field goal,27,14
7,4.0,Bills,Bob Chandler 12 yard pass from Joe Ferguson (John Leypoldt kick),27,21
8,4.0,Dolphins,Garo Yepremian 30 yard field goal,30,21
