,Quarter,Tm,Detail,SFO,ATL
0,1.0,49ers,Danny Abramowicz 13 yard pass from Joe Reed,6,0
1,1.0,49ers,Larry Schreiber 1 yard rush (Bruce Gossett kick),13,0
2,1.0,Falcons,Art Malone 1 yard rush (Nick Mike-Mayer kick),13,7
3,4.0,Falcons,Nick Mike-Mayer 32 yard field goal,13,10
4,4.0,49ers,Bruce Gossett 25 yard field goal,16,10
