,Quarter,Tm,Detail,PIT,NYG
0,1.0,Steelers,Bobby Layne 1 yard rush (Bobby Layne kick),7,0
1,1.0,Steelers,Tom Tracy 1 yard rush (Bobby Layne kick),14,0
2,1.0,Giants,Frank Gifford 6 yard rush (Pat Summerall kick),14,7
3,2.0,Steelers,Bobby Layne 10 yard field goal,17,7
4,2.0,Steelers,Buddy Dial 7 yard pass from Bobby Layne (Bobby Layne kick),24,7
5,2.0,Giants,Frank Gifford 57 yard pass from Charlie Conerly (Pat Summerall kick),24,14
6,3.0,Giants,Pat Summerall 43 yard field goal,24,17
7,4.0,Giants,Frank Gifford 27 yard pass from Charlie Conerly (Pat Summerall kick),24,24
8,4.0,Giants,Pat Summerall 37 yard field goal,24,27
