,Quarter,Tm,Detail,BAL,RAM
0,1.0,Rams,Jack Snow 19 yard pass from Roman Gabriel (Bruce Gossett kick),0,7
1,1.0,Colts,Mike Curtis 38 yard interception return (Lou Michaels kick),7,7
2,1.0,Colts,Preston Pearson 61 yard pass from Earl Morrall (Lou Michaels kick),14,7
3,2.0,Rams,Willie Ellison 2 yard rush (Bruce Gossett kick),14,14
4,4.0,Colts,Preston Pearson 9 yard pass from Johnny Unitas (Lou Michaels kick),21,14
5,4.0,Rams,Willie Ellison 52 yard rush (Bruce Gossett kick),21,21
6,4.0,Colts,Tom Matte 4 yard rush (Lou Michaels kick),28,21
7,4.0,Rams,Bruce Gossett 25 yard field goal,28,24
