,Quarter,Tm,Detail,SEA,CIN
0,1.0,Seahawks,Zachary Dixon 2 yard rush (Norm Johnson kick),7,0
1,2.0,Seahawks,Steve Largent 12 yard pass from Dave Krieg (Norm Johnson kick),14,0
2,2.0,Bengals,Jim Breech 30 yard field goal,14,3
3,2.0,Seahawks,Norm Johnson 25 yard field goal,17,3
4,3.0,Bengals,Jim Breech 33 yard field goal,17,6
5,4.0,Seahawks,"Safety, J. Bryant tackled Schonert in end zone",19,6
6,4.0,Seahawks,Zachary Dixon 1 yard rush (Norm Johnson kick),26,6
