,Quarter,Tm,Detail,ATL,CLE
0,2.0,Browns,Webster Slaughter 54 yard pass from Bernie Kosar (Jeff Jaeger kick),0,7
1,2.0,Browns,Kevin Mack 1 yard rush (Jeff Jaeger kick),0,14
2,2.0,Falcons,Mick Luckhurst 42 yard field goal,3,14
3,3.0,Browns,Earnest Byner 3 yard rush (Jeff Jaeger kick),3,21
4,3.0,Browns,Earnest Byner 5 yard rush (Jeff Jaeger kick),3,28
5,3.0,Browns,Earnest Byner 4 yard pass from Bernie Kosar (Jeff Jaeger kick),3,35
6,4.0,Browns,Jeff Jaeger 38 yard field goal,3,38
