,Quarter,Tm,Detail,STL,NYG
0,1.0,Cardinals,Jim Bakken 29 yard field goal,3,0
1,2.0,Giants,Pete Gogolak 16 yard field goal,3,3
2,2.0,Cardinals,Mel Gray 80 yard pass from Gary Keithley (Jim Bakken kick),10,3
3,3.0,Giants,Ron Johnson 1 yard rush (Pete Gogolak kick),10,10
4,4.0,Giants,Ron Johnson 45 yard pass from Norm Snead (Pete Gogolak kick),10,17
5,4.0,Cardinals,Jim Bakken 18 yard field goal,13,17
6,4.0,Giants,Johnny Roland 1 yard rush (Pete Gogolak kick),13,24
