,Quarter,Time,Tm,Detail,NYG,DEN
0,1.0,1:09,Broncos,Patrick Hape 1 yard pass from Brian Griese (Jason Elam kick),0,7
1,2.0,12:55,Giants,Amani Toomer 43 yard pass from Kerry Collins (Morten Andersen kick),7,7
2,2.0,9:35,Broncos,Ed McCaffrey 16 yard pass from Brian Griese (Jason Elam kick),7,14
3,3.0,10:36,Giants,Amani Toomer 11 yard pass from Kerry Collins (Morten Andersen kick),14,14
4,3.0,7:58,Broncos,Rod Smith 25 yard pass from Brian Griese (Jason Elam kick),14,21
5,4.0,13:40,Broncos,Jason Elam 37 yard field goal,14,24
6,4.0,9:05,Broncos,Mike Anderson 6 yard rush (Jason Elam kick),14,31
7,4.0,1:51,Giants,Marcellus Rivers 1 yard pass from Kerry Collins (Morten Andersen kick failed),20,31
