,Quarter,Time,Tm,Detail,LAR,PHI
0,1.0,11:19,Rams,Tyler Higbee 4 yard pass from Jared Goff (Sam Sloman kick),7,0
1,1.0,6:46,Eagles,Jake Elliott 38 yard field goal,7,3
2,1.0,1:54,Rams,Robert Woods 5 yard rush (Sam Sloman kick),14,3
3,2.0,12:20,Rams,Tyler Higbee 3 yard pass from Jared Goff (Sam Sloman kick),21,3
4,2.0,6:12,Eagles,Carson Wentz 1 yard rush (run failed),21,9
5,2.0,0:39,Eagles,Miles Sanders 5 yard rush (Jake Elliott kick),21,16
6,3.0,2:18,Rams,Sam Sloman 30 yard field goal,24,16
7,4.0,12:11,Eagles,Jake Elliott 33 yard field goal,24,19
8,4.0,11:00,Rams,Tyler Higbee 28 yard pass from Jared Goff (Sam Sloman kick),31,19
9,4.0,3:41,Rams,Darrell Henderson 2 yard rush (Sam Sloman kick failed),37,19
