,Quarter,Tm,Detail,BUF,CLE
0,1.0,Bills,Thurman Thomas 3 yard rush (Scott Norwood kick),7,0
1,2.0,Bills,Thurman Thomas 11 yard rush (Scott Norwood kick),14,0
2,3.0,Bills,Jamie Mueller 1 yard rush (Scott Norwood kick),21,0
3,4.0,Bills,Thurman Thomas 11 yard pass from Jim Kelly (Scott Norwood kick),28,0
4,4.0,Bills,Kenneth Davis 3 yard rush (Scott Norwood kick),35,0
5,4.0,Bills,Darryl Talley 60 yard interception return (Scott Norwood kick),42,0
