,Quarter,Tm,Detail,NYJ,BUF
0,1.0,Bills,Scott Norwood 38 yard field goal,0,3
1,2.0,Bills,Thurman Thomas 3 yard rush (Scott Norwood kick),0,10
2,2.0,Bills,Scott Norwood 27 yard field goal,0,13
3,3.0,Bills,Andre Reed 20 yard pass from Frank Reich (Scott Norwood kick),0,20
4,3.0,Jets,Pat Leahy 41 yard field goal,3,20
5,4.0,Bills,Ronnie Harmon 12 yard pass from Frank Reich (Scott Norwood kick),3,27
6,4.0,Bills,Kenneth Davis 7 yard pass from Frank Reich (Scott Norwood kick),3,34
