,Quarter,Tm,Detail,DAL,NYG
0,1.0,Cowboys,Toni Fritsch 24 yard field goal,3,0
1,3.0,Giants,Doug Kotar 5 yard rush (George Hunt kick),3,7
2,3.0,Cowboys,Toni Fritsch 22 yard field goal,6,7
3,4.0,Cowboys,Jean Fugett 4 yard pass from Roger Staubach (Toni Fritsch kick),13,7
