,Quarter,Tm,Detail,PHI,ATL
0,2.0,Falcons,Alfred Jenkins 11 yard pass from Steve Bartkowski (Nick Mike-Mayer kick),0,7
1,2.0,Falcons,Nick Mike-Mayer 40 yard field goal,0,10
2,2.0,Falcons,Nick Mike-Mayer 46 yard field goal,0,13
3,3.0,Eagles,Harold Carmichael 22 yard pass from Mike Boryla (Horst Muhlmann kick),7,13
4,4.0,Eagles,Charlie Smith 9 yard pass from Mike Boryla (Horst Muhlmann kick),14,13
