,Quarter,Tm,Detail,CRD,NYG
0,1.0,Giants,Howie Livingston 13 yard fumble return (Ken Strong kick),0,7
1,1.0,Cardinals,Marshall Goldberg 1 yard rush (Ward Cuff kick),7,7
2,2.0,Cardinals,Ward Cuff 6 yard rush (Ward Cuff kick),14,7
3,2.0,Cardinals,Ward Cuff 42 yard field goal,17,7
4,3.0,Giants,Bill Paschal 20 yard pass from Frank Filchock (Ken Strong kick),17,14
5,4.0,Giants,Bill Paschal 35 yard pass from Frank Filchock (Ken Strong kick),17,21
6,4.0,Cardinals,Frank Seno 105 yard kickoff return (Ward Cuff kick),24,21
7,4.0,Giants,Howie Livingston 5 yard rush (Ken Strong kick),24,28
