,Quarter,Tm,Detail,PIT,CLE
0,2.0,Steelers,Tom Tracy 4 yard rush (Bobby Layne kick),7,0
1,2.0,Steelers,Tom Tracy 1 yard rush (Bobby Layne kick),14,0
2,2.0,Browns,Ray Renfro 30 yard pass from Milt Plum,14,6
3,4.0,Browns,Ray Renfro 27 yard pass from Milt Plum (Lou Groza kick),14,13
4,4.0,Browns,Ray Renfro 70 yard pass from Milt Plum (Lou Groza kick),14,20
5,4.0,Steelers,Gern Nagler 17 yard pass from Bobby Layne (Bobby Layne kick),21,20
