,Quarter,Time,Tm,Detail,DET,MIN
0,1.0,8:29,Vikings,Daunte Culpepper 7 yard rush (Gary Anderson kick),0,7
1,1.0,3:59,Lions,Jason Hanson 19 yard field goal,3,7
2,2.0,14:46,Vikings,Travis Prentice 1 yard rush (Gary Anderson kick),3,14
3,2.0,10:42,Vikings,Gary Anderson 41 yard field goal,3,17
4,2.0,7:23,Lions,Jason Hanson 51 yard field goal,6,17
5,2.0,0:25,Vikings,Daunte Culpepper 33 yard rush (Gary Anderson kick),6,24
6,3.0,10:25,Vikings,Cris Carter 47 yard pass from Daunte Culpepper (Gary Anderson kick),6,31
7,3.0,5:40,Lions,James Stewart 15 yard pass from Charlie Batch (Jason Hanson kick),13,31
8,4.0,14:20,Lions,Germane Crowell 16 yard pass from Charlie Batch (pass failed),19,31
9,4.0,6:18,Lions,Johnnie Morton 20 yard pass from Charlie Batch (Jason Hanson kick),26,31
