,Quarter,Tm,Detail,PHO,DAL
0,1.0,Cowboys,Ken Willis 36 yard field goal,0,3
1,1.0,Cowboys,Emmitt Smith 3 yard rush (Ken Willis kick),0,10
2,2.0,Cardinals,Johnny Johnson 1 yard rush (Greg Davis kick),7,10
3,3.0,Cowboys,Emmitt Smith 1 yard rush (Ken Willis kick),7,17
4,4.0,Cowboys,Ken Willis 27 yard field goal,7,20
5,4.0,Cowboys,Emmitt Smith 3 yard rush (Ken Willis kick),7,27
