,Quarter,Time,Tm,Detail,DAL,SFO
0,1.0,,Cowboys,Emmitt Smith 4 yard rush (Chris Boniol kick),7,0
1,2.0,,49ers,Steve Young 1 yard rush (Doug Brien kick),7,7
2,3.0,2:48,49ers,Jerry Rice 57 yard pass from Steve Young (Doug Brien kick),7,14
3,4.0,2:48,49ers,Brent Jones 13 yard pass from Steve Young (Doug Brien kick),7,21
4,4.0,2:48,Cowboys,Emmitt Smith 2 yard rush (Chris Boniol kick),14,21
