,Quarter,Tm,Detail,SFO,TAM
0,1.0,Buccaneers,James Wilder 4 yard pass from Steve DeBerg (Donald Igwebuike kick),0,7
1,1.0,49ers,Jerry Rice 21 yard pass from Joe Montana (Ray Wersching kick),7,7
2,1.0,Buccaneers,Donald Igwebuike 29 yard field goal,7,10
3,2.0,49ers,Jerry Rice 42 yard pass from Joe Montana (Ray Wersching kick),14,10
4,2.0,49ers,Ray Wersching 43 yard field goal,17,10
5,4.0,49ers,Jerry Rice 3 yard pass from Joe Montana (Ray Wersching kick),24,10
