,Quarter,Time,Tm,Detail,KAN,DEN
0,1.0,,Broncos,Shannon Sharpe 46 yard pass from John Elway (Jason Elam kick),0,7
1,1.0,,Broncos,Jason Elam 40 yard field goal,0,10
2,1.0,5:38,Chiefs,Tamarick Vanover 97 yard kickoff return (Pete Stoyanovich kick),7,10
3,1.0,5:38,Broncos,Shannon Sharpe 10 yard pass from John Elway (Jason Elam kick),7,17
4,2.0,5:38,Broncos,Mike Sherrard 25 yard pass from John Elway (Jason Elam kick),7,24
5,3.0,5:38,Broncos,Aaron Craver 1 yard rush (Jason Elam kick),7,31
6,4.0,5:38,Broncos,Jason Elam 29 yard field goal,7,34
