,Quarter,Tm,Detail,SDG,PIT
0,1.0,Steelers,Gary Anderson 37 yard field goal,0,3
1,2.0,Steelers,Gary Anderson 34 yard field goal,0,6
2,2.0,Chargers,John Carney 33 yard field goal,3,6
3,3.0,Steelers,Levon Kirkland 16 yard defensive fumble return (Gary Anderson kick),3,13
4,4.0,Steelers,Gary Anderson 35 yard field goal,3,16
