,Quarter,Tm,Detail,DEN,RAI
0,1.0,Raiders,Bo Jackson 4 yard rush (Chris Bahr kick),0,7
1,2.0,Raiders,Steve Smith 45 yard pass from Jay Schroeder (Chris Bahr kick),0,14
2,3.0,Raiders,Greg Townsend 86 yard interception return (Chris Bahr kick),0,21
3,3.0,Broncos,Rich Karlis 29 yard field goal,3,21
4,3.0,Broncos,Rich Karlis 36 yard field goal,6,21
5,3.0,Broncos,Clarence Kay 6 yard pass from John Elway (Rich Karlis kick),13,21
6,4.0,Broncos,Clarence Kay 4 yard pass from John Elway (Rich Karlis kick),20,21
