,Quarter,Time,Tm,Detail,OAK,SDG
0,1.0,7:44,Chargers,LaDainian Tomlinson 2 yard rush (Steve Christie kick),0,7
1,2.0,4:39,Raiders,Phillip Buchanon 80 yard punt return (Sebastian Janikowski kick),7,7
2,2.0,0:43,Chargers,David Boston 18 yard pass from Drew Brees (Steve Christie kick),7,14
3,2.0,0:24,Raiders,Doug Gabriel 85 yard kickoff return (Sebastian Janikowski kick),14,14
4,4.0,11:42,Chargers,LaDainian Tomlinson 2 yard rush (Steve Christie kick),14,21
