,Quarter,Time,Tm,Detail,HOU,PIT
0,1.0,5:54,Texans,Kenny Wright 40 yard defensive fumble return (Kris Brown kick),7,0
1,1.0,2:01,Texans,Aaron Glenn 70 yard interception return (Kris Brown kick),14,0
2,2.0,0:20,Steelers,Jeff Reed 40 yard field goal,14,3
3,3.0,9:33,Steelers,Jeff Reed 31 yard field goal,14,6
4,4.0,3:35,Texans,Kris Brown 43 yard field goal,17,6
5,4.0,2:02,Texans,Aaron Glenn 65 yard interception return (Kris Brown kick),24,6
