,Quarter,Time,Tm,Detail,PIT,BAL
0,1.0,,Ravens,Eric Green 22 yard pass from Vinny Testaverde (Matt Stover kick),0,7
1,1.0,,Ravens,Bam Morris 1 yard rush (Matt Stover kick),0,14
2,2.0,,Ravens,Brian Kinchen 24 yard pass from Vinny Testaverde (Matt Stover kick),0,21
3,2.0,,Steelers,Kordell Stewart 1 yard rush (Norm Johnson kick),7,21
4,2.0,,Ravens,Matt Stover 34 yard field goal,7,24
5,3.0,15:00,Steelers,Will Blackwell 97 yard kickoff return (Norm Johnson kick),14,24
6,3.0,15:00,Steelers,Charles Johnson 8 yard pass from Kordell Stewart (Norm Johnson kick),21,24
7,4.0,15:00,Steelers,Mark Bruener 4 yard pass from Kordell Stewart (Norm Johnson kick),28,24
8,4.0,15:00,Steelers,Charles Johnson 17 yard pass from Kordell Stewart (Norm Johnson kick),35,24
9,4.0,15:00,Ravens,Derrick Alexander 10 yard pass from Vinny Testaverde (Earnest Byner pass from Vinny Testaverde),35,32
10,4.0,15:00,Steelers,Kordell Stewart 74 yard rush (Norm Johnson kick),42,32
11,4.0,15:00,Ravens,"Safety, Miller ran out of end zone",42,34
