,Quarter,Time,Tm,Detail,NYG,NOR
0,2.0,14:52,Saints,Lance Moore 4 yard pass from Drew Brees (John Kasay kick),0,7
1,2.0,9:30,Giants,Lawrence Tynes 42 yard field goal,3,7
2,2.0,2:21,Saints,Jimmy Graham 5 yard pass from Drew Brees (John Kasay kick),3,14
3,2.0,0:35,Saints,Lance Moore 10 yard pass from Drew Brees (John Kasay kick),3,21
4,3.0,10:43,Giants,Brandon Jacobs 8 yard rush (Lawrence Tynes kick),10,21
5,3.0,5:48,Saints,Drew Brees 8 yard rush (John Kasay kick),10,28
6,3.0,4:13,Saints,Jimmy Graham 29 yard pass from Drew Brees (John Kasay kick),10,35
7,4.0,14:50,Giants,Victor Cruz 72 yard pass from Eli Manning (Lawrence Tynes kick),17,35
8,4.0,10:41,Saints,Pierre Thomas 12 yard rush (John Kasay kick),17,42
9,4.0,5:12,Giants,Victor Cruz 4 yard pass from Eli Manning (Lawrence Tynes kick),24,42
10,4.0,1:02,Saints,Mark Ingram 35 yard rush (John Kasay kick),24,49
