,Quarter,Tm,Detail,NYG,PIT
0,1.0,Giants,Red Badgro 25 yard pass from Harry Newman (Harry Newman kick),7,0
1,1.0,Pirates,Joe Skladany 28 yard pass from Warren Heller,7,6
2,2.0,Pirates,Warren Heller 2 yard rush,7,12
3,3.0,Giants,Ken Strong 7 yard rush (Harry Newman kick),14,12
