,Quarter,Tm,Detail,CIN,KAN
0,1.0,Bengals,Billy Brooks 15 yard pass from Ken Anderson (Chris Bahr kick),7,0
1,1.0,Chiefs,Mark Bailey 47 yard pass from Mike Livingston (Jan Stenerud kick),7,7
2,2.0,Bengals,Chris Bahr 35 yard field goal,10,7
3,2.0,Bengals,Pat McInally 14 yard pass from Ken Anderson (Chris Bahr kick),17,7
4,3.0,Bengals,Chris Bahr 20 yard field goal,20,7
5,4.0,Bengals,Pete Johnson 1 yard rush (Chris Bahr kick),27,7
