,Quarter,Tm,Detail,RAI,CIN
0,1.0,Bengals,Rodney Holman 3 yard pass from Ken Anderson (Steve Kreider run),0,7
1,1.0,Bengals,Ken Riley 56 yard interception return (Jim Breech kick),0,14
2,2.0,Raiders,Chris Bahr 31 yard field goal,3,14
3,2.0,Raiders,Cliff Branch 34 yard pass from Jim Plunkett (Chris Bahr kick),10,14
4,2.0,Bengals,Pete Johnson 1 yard rush (Jim Breech kick),10,21
5,3.0,Raiders,Cliff Branch 28 yard pass from Jim Plunkett (Chris Bahr kick),17,21
6,3.0,Bengals,Ken Anderson 10 yard rush (Jim Breech kick),17,28
7,4.0,Bengals,Jim Breech 35 yard field goal,17,31
