,Quarter,Time,Tm,Detail,STL,BAL
0,1.0,2:05,Rams,Todd Gurley 1 yard rush (Greg Zuerlein kick),7,0
1,2.0,0:00,Ravens,Justin Tucker 25 yard field goal,7,3
2,3.0,6:14,Rams,Lance Kendricks 30 yard pass from Case Keenum (Greg Zuerlein kick failed),13,3
3,4.0,11:11,Ravens,Kamar Aiken 3 yard pass from Joe Flacco (Justin Tucker kick),13,10
4,4.0,5:12,Ravens,Justin Tucker 20 yard field goal,13,13
5,4.0,0:00,Ravens,Justin Tucker 47 yard field goal,13,16
