,Quarter,Tm,Detail,GNB,CLE
0,1.0,Packers,Rich McGeorge 23 yard pass from Scott Hunter (Chester Marcol kick),7,0
1,1.0,Browns,Don Cockroft 21 yard field goal,7,3
2,2.0,Browns,Clarence Scott 55 yard blocked field goal return (Don Cockroft kick),7,10
3,2.0,Packers,Chester Marcol 41 yard field goal,10,10
4,2.0,Packers,Rich McGeorge 2 yard pass from Scott Hunter (Chester Marcol kick),17,10
5,3.0,Packers,Chester Marcol 19 yard field goal,20,10
6,4.0,Packers,Chester Marcol 49 yard field goal,23,10
7,4.0,Packers,Chester Marcol 17 yard field goal,26,10
