,Quarter,Time,Tm,Detail,DEN,NYJ
0,1.0,4:18,Broncos,Ed McCaffrey 1 yard pass from Brian Griese (Jason Elam kick),7,0
1,1.0,1:24,Broncos,Jason Elam 31 yard field goal,10,0
2,2.0,5:33,Broncos,Terrell Davis 4 yard rush (Jason Elam kick),17,0
3,2.0,3:05,Jets,Curtis Martin 1 yard rush (John Hall kick),17,7
4,2.0,1:13,Broncos,Jason Elam 41 yard field goal,20,7
5,2.0,0:09,Jets,John Hall 45 yard field goal,20,10
6,3.0,10:04,Jets,Anthony Becht 1 yard pass from Vinny Testaverde (John Hall kick),20,17
7,3.0,5:24,Jets,John Hall 26 yard field goal,20,20
8,3.0,0:00,Broncos,Jason Elam 23 yard field goal,23,20
9,4.0,9:00,Broncos,Ed McCaffrey 47 yard pass from Brian Griese (Jason Elam kick),30,20
10,4.0,4:45,Jets,John Hall 28 yard field goal,30,23
